id;attachment_type;file_name;file_path;file_type;file_size;checksum;uploaded_date;file;file_content_type;transcript;duration_seconds;language;deleted;updated_date;deleted_date;ticket_id;uploaded_by_id
18;VIDEO;weird what equally;which;which phooey;22273;thankfully;2026-08-17T12:42:10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;21891;never brig;true;2026-08-17T10:38:26;2026-08-17T15:02:26;18;2
19;DOCUMENT;hygienic around;anenst annually;inquisitively;8410;under knowingly;2026-08-18T02:27:48;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;20790;with ill-f;false;2026-08-18T05:51:24;2026-08-17T20:44:59;19;2
20;CONTRACTOR_UPDATE;kiss;develop ha;unless ick hmph;16293;uh-huh make yum;2026-08-17T18:53:27;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;12602;above;false;2026-08-17T22:39:04;2026-08-17T22:02:07;20;2
21;COMPLETION_REPORT;from vice;restructure wisely beyond;brief medium;1714;incidentally rebound;2026-08-17T12:31:35;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;14265;around col;true;2026-08-17T19:23:47;2026-08-18T02:19:32;21;1
22;VIDEO;whereas;private reluctantly;loftily;6917;eke;2026-08-18T05:41:15;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;18095;how creato;false;2026-08-17T22:17:09;2026-08-17T16:01:09;22;2
23;DOCUMENT;daily;uh-huh congregate whenever;joyously fumigate doubtfully;15421;harmful hm;2026-08-18T04:47:34;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;32120;overload;false;2026-08-17T18:22:36;2026-08-17T19:27:36;23;2
24;PDF;fatherly jaggedly aw;free growing;finally;30908;excluding because drat;2026-08-18T09:06:33;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;21143;faithfully;true;2026-08-17T11:03:00;2026-08-18T06:23:25;24;1
25;AUDIO;rudely yet gracefully;uh-huh if whether;same truly supposing;12272;pomelo knowingly variable;2026-08-17T23:59:13;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;27848;meanwhile;false;2026-08-17T21:10:58;2026-08-17T15:45:35;25;2
26;DOCUMENT;quadruple;eek ack slight;seagull;30377;scar;2026-08-17T23:37:12;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;31862;boohoo;false;2026-08-17T13:20:09;2026-08-17T23:44:55;26;2
27;DOCUMENT;scented neighboring;though how refine;rim;19660;swiftly;2026-08-17T23:53:18;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;3338;oxidize;true;2026-08-17T11:21:07;2026-08-17T12:04:38;27;1
28;VIDEO;who;a celsius;brr;8125;extract horst;2026-08-18T05:31:02;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;3806;courageous;true;2026-08-18T04:39:46;2026-08-17T18:32:33;28;2
29;AUDIO;accomplished but motivate;butter;trim off rebuke;758;seriously busily;2026-08-17T16:57:16;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;9962;willfully ;true;2026-08-17T15:24:45;2026-08-18T10:00:57;29;2
30;AUDIO;despite wordy;however vaguely;off;7681;discontinue nimble;2026-08-17T10:23:42;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;8563;even;true;2026-08-18T07:34:59;2026-08-18T01:14:22;30;1
